movie,year,imdb_ratings,metacritic,runtime,votes,genres,us_gross
Knives Out,2019,8.0,82,131,234973,"Comedy, Crime, Drama",$165.36M
1917,2019,8.4,78,119,239674,"Drama, War",$159.18M
Parasite,2019,8.6,96,132,324509,"Comedy, Drama, Thriller",$53.37M
Uncut Gems,2019,7.6,90,135,129702,"Crime, Drama, Thriller",-
Jojo Rabbit,2019,8.0,58,108,170025,"Comedy, Drama, War",$0.35M
Once Upon a Time... in Hollywood,2019,7.7,83,161,413778,"Comedy, Drama",$142.50M
Joker,2019,8.5,59,122,722364,"Crime, Drama, Thriller",$335.45M
Ford v Ferrari,2019,8.1,81,152,175041,"Action, Biography, Drama",$117.62M
Little Women,2019,8.0,91,135,78289,"Drama, Romance",$108.05M
The Shawshank Redemption,1994,9.3,80,142,2203119,Drama,$28.34M
The Irishman,2019,7.9,94,209,261293,"Biography, Crime, Drama",-
Avengers: Endgame,2019,8.4,78,181,682099,"Action, Adventure, Drama",$858.37M
The Gentlemen,2019,8.1,51,113,52111,"Action, Comedy, Crime",-
Toy Story 4,2019,7.8,84,100,165898,"Animation, Adventure, Comedy",$434.04M
28 Days Later...,2002,7.6,73,113,358955,"Drama, Horror, Sci-Fi",$45.06M
The Godfather,1972,9.2,100,175,1517886,"Crime, Drama",$134.97M
The Lighthouse,2019,7.7,83,109,85222,"Drama, Fantasy, Horror",$0.43M
Blade Runner 2049,2017,8.0,81,164,418568,"Action, Drama, Mystery",$92.05M
The Dark Knight,2008,9.0,84,152,2184194,"Action, Crime, Drama",$534.86M
Harry Potter and the Sorcerer's Stone,2001,7.6,64,152,597811,"Adventure, Family, Fantasy",$317.58M
Inception,2010,8.8,74,148,1933102,"Action, Adventure, Sci-Fi",$292.58M
Guardians of the Galaxy,2014,8.0,76,121,1001188,"Action, Adventure, Comedy",$333.18M
Marriage Story,2019,8.0,93,137,191714,"Comedy, Drama, Romance",-
Goodfellas,1990,8.7,90,146,959280,"Biography, Crime, Drama",$46.84M
Interstellar,2014,8.6,74,169,1385992,"Adventure, Drama, Sci-Fi",$188.02M
The Shining,1980,8.4,66,146,839537,"Drama, Horror",$44.02M
12 Monkeys,1995,8.0,74,129,555470,"Mystery, Sci-Fi, Thriller",$57.14M
Fight Club,1999,8.8,66,139,1759379,Drama,$37.03M
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,178,1577469,"Action, Adventure, Drama",$315.54M
Pulp Fiction,1994,8.9,94,154,1731138,"Crime, Drama",$107.93M
The Wolf of Wall Street,2013,8.2,75,180,1097218,"Biography, Crime, Drama",$116.90M
Thor: Ragnarok,2017,7.9,74,130,537935,"Action, Adventure, Comedy",$315.06M
Spirited Away,2001,8.6,96,125,595623,"Animation, Adventure, Family",$10.06M
Inglourious Basterds,2009,8.3,69,153,1189954,"Adventure, Drama, War",$120.54M
Green Book,2018,8.2,69,130,300406,"Biography, Comedy, Drama",$85.08M
Titanic,1997,7.8,75,194,997476,"Drama, Romance",$659.33M
Forrest Gump,1994,8.8,82,142,1700632,"Drama, Romance",$330.25M
Tangled,2010,7.7,71,100,384947,"Animation, Adventure, Comedy",$200.82M
The Matrix,1999,8.7,73,136,1586273,"Action, Sci-Fi",$171.48M
Mad Max: Fury Road,2015,8.1,90,120,825168,"Action, Adventure, Sci-Fi",$154.06M
Call Me by Your Name,2017,7.9,93,132,181383,"Drama, Romance",$18.10M
There Will Be Blood,2007,8.2,93,158,485855,Drama,$40.22M
Mission: Impossible - Fallout,2018,7.8,86,147,265385,"Action, Adventure, Thriller",$220.16M
Avengers: Infinity War,2018,8.5,68,149,754656,"Action, Adventure, Sci-Fi",$678.82M
Gone Girl,2014,8.1,79,149,803434,"Drama, Mystery, Thriller",$167.77M
Shutter Island,2010,8.1,63,138,1059253,"Mystery, Thriller",$128.01M
